ticket_id,created,subject,body,current_category,_seed_category
TS-1258,2026-06-08,Question about policy,I had a general question about the new equipment policy — who should I talk to?,,Other
TS-1259,2026-02-25,Keyboard not working,"A few keys on my keyboard stopped working. Started yesterday, getting worse.",Hardware,Hardware
TS-1260,2026-04-19,Need access to shared drive,I need access to the shared drive for my new project. What do you need from me?,,Account Access
TS-1261,2026-04-17,Update won't apply,A required update won't apply — it downloads then rolls back every time.,Software Install,Software Install
TS-1262,2026-06-23,License activation failing,A required update won't apply — it downloads then rolls back every time.,Software Install,Software Install
TS-1263,2026-05-02,MFA not working,I need access to the shared drive for my new project. What do you need from me?,,Account Access
TS-1264,2026-06-17,Computer is very slow,One application keeps freezing and I have to force-close it. Started this week.,,Performance
TS-1265,2026-03-15,Computer is very slow,One application keeps freezing and I have to force-close it. Started this week.,Performance,Performance
TS-1266,2026-03-15,Is this a scam?,Someone emailed asking for gift cards from the director's name. Looks like a scam.,,Phishing / Spam
TS-1267,2026-05-20,General request,I had a general question about the new equipment policy — who should I talk to?,,Other
TS-1268,2026-01-27,Got a phishing message,Someone emailed asking for gift cards from the director's name. Looks like a scam.,Password Reset,Phishing / Spam
TS-1269,2026-01-07,VPN keeps disconnecting,The VPN disconnects every few minutes while I'm working remote. Can't work like this.,Network / VPN,Network / VPN
TS-1270,2026-02-17,Question about policy,"Not sure this is the right place, but I need help with something unusual.",,Other
TS-1271,2026-01-11,Laptop won't turn on,"My laptop (asset LT-638) won't turn on at all this morning, even plugged in.",Hardware,Hardware
TS-1272,2026-06-09,Laptop won't turn on,The second monitor on my docking station is black. Cable seems fine.,,Hardware
TS-1273,2026-04-01,Need software installed,A required update won't apply — it downloads then rolls back every time.,Software Install,Software Install
TS-1274,2026-02-28,Computer is very slow,Everything is lagging and the cursor spins constantly. Hard to get work done.,,Performance
TS-1275,2026-06-02,Permission denied on folder,"My two-factor (MFA) prompt isn't arriving on my phone, so I can't get in.",,Account Access
TS-1276,2026-06-12,Everything is lagging,Everything is lagging and the cursor spins constantly. Hard to get work done.,,Performance
TS-1277,2026-04-02,Locked out of my account,I tried logging in and it says my password expired. Can you reset it? My username is marcus.,,Password Reset
TS-1278,2026-05-09,MFA not working,"My two-factor (MFA) prompt isn't arriving on my phone, so I can't get in.",,Account Access
TS-1279,2026-01-08,Need access to shared drive,I get 'permission denied' opening a folder I'm supposed to have access to.,,Account Access
TS-1280,2026-02-04,Laptop won't turn on,"My laptop (asset LT-494) won't turn on at all this morning, even plugged in.",,Hardware
TS-1281,2026-05-03,Got a phishing message,Someone emailed asking for gift cards from the director's name. Looks like a scam.,Phishing / Spam,Phishing / Spam
TS-1282,2026-05-19,Can't print to the shared printer,The printer by the break room has a paper jam I can't clear. Print queue is stuck.,Email,Printer
TS-1283,2026-03-10,No internet at my desk,No internet at my desk since this morning — wired connection shows no network.,,Network / VPN
TS-1284,2026-04-06,Everything is lagging,My whole machine is very slow and freezing since the last update. A restart helps briefly.,,Performance
TS-1285,2026-05-19,Need software installed,A required update won't apply — it downloads then rolls back every time.,,Software Install
TS-1286,2026-03-27,Update won't apply,A required update won't apply — it downloads then rolls back every time.,Software Install,Software Install
TS-1287,2026-05-10,Computer is very slow,One application keeps freezing and I have to force-close it. Started this week.,,Performance
TS-1288,2026-01-17,Question about policy,I had a general question about the new equipment policy — who should I talk to?,Account Access,Other
TS-1289,2026-03-10,Got a phishing message,This message looks like phishing — it's pretending to be from IT. Forwarding now.,Password Reset,Phishing / Spam
TS-1290,2026-03-28,Laptop won't turn on,The second monitor on my docking station is black. Cable seems fine.,,Hardware
TS-1291,2026-02-12,Permission denied on folder,"My two-factor (MFA) prompt isn't arriving on my phone, so I can't get in.",,Account Access
TS-1292,2026-02-20,Missing emails,My mailbox stopped syncing on my phone this morning. Desktop is okay.,,Email
TS-1293,2026-02-03,Keyboard not working,"My laptop (asset LT-975) won't turn on at all this morning, even plugged in.",Hardware,Hardware
TS-1294,2026-06-17,No internet at my desk,"I can't connect to Wi-Fi on my laptop, but my phone connects fine.",,Network / VPN
TS-1295,2026-05-10,Printer paper jam,I can't print to the shared printer — jobs just sit in the queue.,,Printer
TS-1296,2026-02-24,Second monitor dead,"My laptop (asset LT-379) won't turn on at all this morning, even plugged in.",,Hardware
TS-1297,2026-06-17,Not sure who to ask,I had a general question about the new equipment policy — who should I talk to?,,Other
TS-1298,2026-02-02,VPN keeps disconnecting,"I can't connect to Wi-Fi on my laptop, but my phone connects fine.",Network / VPN,Network / VPN
TS-1299,2026-01-02,Keyboard not working,The second monitor on my docking station is black. Cable seems fine.,,Hardware
TS-1300,2026-04-24,Can't connect to Wi-Fi,No internet at my desk since this morning — wired connection shows no network.,,Network / VPN
